bet_id,sportsbook,type,status,odds,closing_line,ev,amount,profit,time_placed,time_settled,bet_info,tags,sports,leagues
PlacedBet:Kv3gNDCaKZJ+e3JCLQ8pnPg5hwY=,ESPNBet,parlay,SETTLED_LOSS,6.57,,,15,-15.00,12/20/2023 00:01:41 GMT,12/20/2023 06:02:52 GMT,Over 1.5 Klay Thompson Total Steals Boston Celtics @ Golden State Warriors | No Derrick White To Record A Double Double Boston Celtics @ Golden State Warriors | No Jaylen Brown To Record A Double Double Boston Celtics @ Golden State Warriors | No Jayson Tatum To Record A Triple Double Boston Celtics @ Golden State Warriors,,Basketball,NBA
638386194304925286,Draftkings Sportsbook,parlay,SETTLED_WIN,3.65,,,5,13.28,12/19/2023 21:50:31 GMT,12/20/2023 05:55:28 GMT,30+ Devin Booker Alt Points + Assists PHO Suns @ POR Trail Blazers | Over 4.5 Jayson Tatum Assists BOS Celtics @ GS Warriors | Over 3.5 Klay Thompson Alt Rebounds O/U BOS Celtics @ GS Warriors,,Basketball,NBA
PlacedBet:dYLln1s0jh4ljl+crEwRsDdDIPI=,ESPNBet,straight,SETTLED_LOSS,4.40,,,5,-5.00,12/19/2023 22:44:34 GMT,12/20/2023 05:42:27 GMT,Yes Stephen Curry & Jayson Tatum Each To Score Over 29.5 Points (Was +300) NBA Odds Boosts‎,,,
O/0586450/0000151,Fanduel Sportsbook,straight,SETTLED_WIN,2.56,,,2.5,3.90,12/19/2023 19:06:22 GMT,12/20/2023 05:41:34 GMT,"Jusuf Nurkic Player to Record 1+ Points, Rebounds, Assists, Blocks, and Steals Phoenix Suns @ Portland Trail Blazers",,Basketball,NBA
638386257521437530,Draftkings Sportsbook,parlay,SETTLED_LOSS,3.40,,,10,-10.00,12/19/2023 23:35:53 GMT,12/20/2023 05:40:19 GMT,PHO Suns Moneyline PHO Suns @ POR Trail Blazers | Over 6.5 Devin Booker Alt Assists O/U PHO Suns @ POR Trail Blazers | Under 1.5 Kevin Durant Blocks PHO Suns @ POR Trail Blazers | Under 240.5 O/U Alternate PHO Suns @ POR Trail Blazers,,Basketball,NBA
O/0586450/0000152,Fanduel Sportsbook,straight,SETTLED_LOSS,3.25,,,2.72,-2.72,12/19/2023 19:08:16 GMT,12/20/2023 05:39:48 GMT,"Jrue Holiday Player to Record 1+ Points, Rebounds, Assists, Blocks, and Steals Boston Celtics @ Golden State Warriors",,Basketball,NBA
638386009621236812,Draftkings Sportsbook,parlay,SETTLED_LOSS,8.21,,,2.5,-2.50,12/19/2023 16:42:42 GMT,12/20/2023 05:35:35 GMT,Under 5.5 Stephen Curry Assists BOS Celtics @ GS Warriors | Under 14.5 Deandre Ayton Points + Assists PHO Suns @ POR Trail Blazers | Coastal Carolina +6.5 Spread 1st Half Coastal Carolina @ San Jose State,,American Football | Basketball,NBA | NCAAFB
PlacedBet:AYTABG3m6dZkorHsz/PMNzxMg4g=,ESPNBet,parlay,SETTLED_LOSS,6.43,,,5,0.00,12/20/2023 00:46:36 GMT,12/20/2023 03:46:16 GMT,Over 11.5 Bobby Portis Total Points San Antonio Spurs @ Milwaukee Bucks | Over 5.5 Zach Collins Total Rebounds San Antonio Spurs @ Milwaukee Bucks | Over 17.5 Devin Vassell Total Points San Antonio Spurs @ Milwaukee Bucks | Under 5.5 Khris Middleton Total Assists San Antonio Spurs @ Milwaukee Bucks,,Basketball,NBA
O/0586450/0000153,Fanduel Sportsbook,straight,SETTLED_WIN,2.30,,,5,6.50,12/19/2023 23:03:30 GMT,12/20/2023 03:27:16 GMT,Ja Morant to Score 20+ Points and Damian Lillard to Score 25+ Points (12/19) NBA Super Boost - Ja Morant to Score 20+ Points and Damian Lillard to Score 25+ Points (12/19) NBA Super Boost - Ja Morant to Score 20+ Points and Damian Lillard to Score 25+ Points (12/19),,,
638386088741204639,Draftkings Sportsbook,parlay,SETTLED_LOSS,8.65,,,5,-5.00,12/19/2023 18:54:33 GMT,12/20/2023 02:02:35 GMT,Providence +10.5 Spread Alternate - NCAAB Marquette @ Providence | Virginia Moneyline Virginia @ Memphis | Over 132.5 O/U Virginia @ Memphis,,Basketball,NCAAM
